106	74	106	74
254	19	27	60
77	47	75	161
142	62	56	100
18	123	129	90
26	208	45	81
50	37	167	106
154	92	80	34
102	174	46	38
148	119	39	54
44	158	64	94
114	166	31	49
223	63	29	45
22	22	126	190
262	32	31	35
186	76	64	34
126	130	36	68
125	24	77	134
114	135	26	85
172	42	18	128
142	110	41	67
103	48	161	48
168	130	31	31
141	94	90	35
195	40	47	78
247	21	52	40
41	28	101	190
205	62	42	51
261	39	30	30
266	28	29	37
109	18	194	39
202	38	49	71
264	32	17	47
16	25	237	82
86	103	49	122
213	60	50	37
176	101	33	50
230	26	47	57
126	71	52	111
55	128	101	76
23	127	57	153
215	20	43	82
232	37	57	34
129	149	37	45
226	34	55	45
90	23	72	175
55	229	22	54
187	96	36	41
89	91	89	91
160	67	92	41
253	19	45	43
111	102	45	102
192	41	57	70
71	145	95	49
33	182	106	39
108	67	128	57
181	27	81	71
148	32	148	32
38	211	51	60
226	39	49	46
186	24	119	31
209	42	38	71
143	125	54	38
270	24	16	50
241	56	25	38
222	74	34	30
160	92	32	76
114	66	114	66
99	85	125	51
53	114	68	125
182	77	70	31
101	41	20	198
266	17	32	45
139	54	110	57
235	55	33	37
228	43	54	35
22	30	150	158
114	66	114	66
264	18	27	51
108	72	108	72
152	110	52	46
109	25	61	165
137	27	33	163
114	159	43	44
116	22	143	79
122	139	64	35
72	108	72	108
235	22	66	37
84	24	166	86
269	22	18	51
116	132	66	46
170	53	74	63
226	16	70	48
32	224	62	42
236	52	38	34
65	219	15	61
133	113	73	41
183	71	21	85
246	52	31	31
203	17	58	82
131	49	131	49
137	71	20	132
75	73	135	77
239	29	52	40
136	22	161	41
62	118	62	118
213	38	44	65
261	39	26	34
129	83	111	37
188	71	62	39
270	20	18	52
106	31	112	111
64	116	64	116
16	157	124	63
262	19	43	36
86	94	86	94
146	26	115	73
59	90	55	156
268	25	25	42
171	31	56	102
260	15	47	38
84	52	162	62
19	119	21	201
199	42	64	55
235	28	53	44
59	230	25	46
147	124	33	56
152	97	43	68
161	50	40	109
128	52	128	52
99	26	83	152
135	22	123	80
74	106	74	106
18	211	74	57
63	117	139	41
265	33	23	39
222	64	19	55
120	179	17	44
178	106	16	60
237	25	32	66
181	63	74	42
42	121	151	46
143	78	37	102
97	83	97	83
237	44	22	57
241	52	34	33
145	111	20	84
160	122	46	32
192	51	66	51
227	26	21	86
223	46	59	32
140	40	140	40
225	64	38	33
123	93	22	122
91	59	80	130
53	104	40	163
128	49	52	131
42	216	55	47
221	45	41	53
83	97	83	97
127	53	127	53
140	40	140	40
89	80	93	98
80	100	80	100
81	99	81	99
245	35	49	31
37	41	236	46
206	16	79	59
204	66	18	72
231	53	31	45
102	80	109	69
221	46	50	43
257	43	16	44
26	196	57	81
123	57	123	57
223	37	66	34
56	51	131	122
212	49	66	33
84	121	37	118
54	145	21	140
205	72	47	36
163	106	54	37
243	23	42	52
143	138	40	39
174	119	27	40
101	162	46	51
198	21	21	120
58	148	16	138
141	39	141	39
236	61	21	42
61	119	61	119
159	88	68	45
212	18	58	72
142	131	22	65
117	87	53	103
214	40	58	48
262	27	39	32
35	141	120	64
161	93	75	31
90	79	58	133
248	31	16	65
207	19	47	87
176	16	125	43
99	115	21	125
251	33	33	43
34	104	39	183
77	103	77	103
170	59	24	107
67	85	98	110
123	168	23	46
152	111	64	33
157	50	45	108
65	71	47	177
44	62	51	203
134	146	22	58
197	102	23	38
71	73	89	127
142	64	58	96
199	97	33	31
108	128	28	96
70	131	33	126
240	60	20	40
139	75	39	107
158	35	79	88
131	151	42	36
182	15	64	99
174	107	42	37
222	65	36	37
157	75	76	52
171	61	83	45
66	114	66	114
225	37	25	73
87	72	93	108
51	169	67	73
129	51	129	51
122	119	58	61
37	171	66	86
69	111	69	111
170	116	38	36
83	97	83	97
107	99	15	139
243	42	36	39
34	193	96	37
176	101	23	60
96	15	139	110
262	26	24	48
128	52	128	52
114	56	121	69
224	38	16	82
79	38	59	184
78	214	30	38
136	86	37	101
201	87	22	50
201	48	73	38
135	45	135	45
145	68	113	34
41	173	20	126
119	31	119	91
137	43	137	43
136	44	136	44
67	113	67	113
163	107	25	65
71	229	20	40
26	223	37	74
250	20	19	71
138	17	160	45
69	111	69	111
131	28	102	99
24	94	48	194
181	30	112	37
194	20	31	115
192	71	52	45
132	48	132	48
250	40	16	54
220	70	40	30
269	26	35	30
55	71	54	180
70	167	16	107
83	97	83	97
49	221	30	60
46	161	99	54
142	38	142	38
23	140	70	127
65	78	21	196
160	112	53	35
103	114	72	71
83	189	22	66
215	37	23	85
131	88	40	101
108	72	108	72
209	19	68	64
200	100	29	31
164	132	18	46
148	32	148	32
85	147	53	75
90	169	21	80
100	80	100	80
261	36	19	44
153	61	44	102
92	48	27	193
166	56	82	56
149	68	74	69
60	120	60	120
223	62	15	60
114	66	114	66
178	99	28	55
251	37	21	51
123	113	20	104
233	20	35	72
117	143	60	40
67	76	147	70
198	86	39	37
218	48	54	40
162	55	74	69
100	80	100	80
247	22	17	74
27	238	50	45
40	20	46	254
39	191	53	77
265	15	34	46
88	92	88	92
94	17	166	83
31	224	65	40
72	80	99	109
183	78	69	30
117	99	24	120
84	109	119	48
46	222	54	38
221	49	33	57
81	115	59	105
228	70	20	42
16	133	154	57
39	40	210	71
89	91	89	91
70	110	70	110
253	15	27	65
227	73	30	30
119	34	54	153
36	249	43	32
117	146	59	38
40	36	244	40
142	38	142	38
97	153	34	76
233	49	28	50
88	92	88	92
135	45	135	45
148	101	59	52
93	87	93	87
48	235	43	34
207	45	15	93
255	17	54	34
140	83	99	38
129	167	19	45
62	118	62	118
107	73	107	73
163	119	25	53
187	46	41	86
218	26	67	49
180	66	23	91
152	93	72	43
80	75	96	109
72	108	72	108
201	79	22	58
64	109	147	40
107	25	82	146
162	63	71	64
61	50	140	109
183	105	15	57
57	191	38	74
81	151	98	30
31	51	186	92
168	103	50	39
22	62	128	148
101	79	101	79
26	196	54	84
188	102	31	39
100	181	32	47
173	62	46	79
150	137	16	57
222	48	38	52
216	60	51	33
89	137	84	50
94	86	94	86
59	75	134	92
139	23	79	119
93	87	93	87
156	71	86	47
215	33	35	77
224	50	15	71
268	31	31	30
138	147	35	40
102	78	102	78
216	77	15	52
179	42	109	30
78	45	165	72
266	22	15	57
65	180	84	31
255	44	15	46
252	20	31	57
67	113	67	113
29	38	43	250
46	97	99	118
107	115	57	81
94	185	16	65
98	181	37	44
225	17	76	42
28	127	66	139
144	36	144	36
98	110	77	75
225	49	19	67
216	64	15	65
245	36	41	38
22	180	21	137
209	45	39	67
249	32	33	46
75	25	165	95
151	99	29	81
212	68	29	51
31	184	45	100
105	103	86	66
263	24	20	53
130	114	46	70
136	44	136	44
32	207	49	72
251	23	20	66
112	150	44	54
90	187	47	36
164	24	116	56
