0,5778	-4,0500	140
1,1611	-3,2389	139
1,6667	-3,1556	140
1,7111	-2,1944	140
1,1833	-2,7444	134
1,2056	-3,0722	149
2,2222	-2,4944	140
2,0722	-3,2722	136
2,2000	-2,8500	140
2,7333	-2,1333	140
2,7889	-1,9056	138
3,8222	-0,7389	139
4,9111	0,8056	149
6,2056	2,2389	141
7,4389	3,6778	139
6,9500	2,8111	139
5,9722	2,3889	148
5,9056	2,2500	148
4,9556	0,3833	149
5,4722	1,1000	145
5,9722	1,8611	140
4,9333	0,5556	139
5,4722	1,3778	149
5,4222	1,6667	148
5,4222	2,4944	157
2,3500	-1,5500	221
5,4222	2,0222	147
5,9056	2,2778	147
5,9667	2,4056	137
5,9500	1,9444	138
5,9500	1,6833	139
6,7333	2,8444	138
5,9278	1,7111	138
6,9444	2,8722	138
6,9444	3,2444	129
7,5056	3,8500	138
6,9944	4,4944	156
7,0444	7,0444	120
7,0167	5,1167	106
7,0167	4,9167	136
6,5389	4,1000	155
5,9333	3,1000	168
4,8667	2,0833	178
3,9444	0,2222	212
2,8556	-1,6444	209
2,8056	-1,3000	211
2,3111	-2,2278	239
1,6944	-2,6833	230
1,6944	-3,1167	220
1,7333	0,3556	325
1,6667	-2,6722	220
1,6667	-2,6667	229
1,7167	-1,5833	239
2,2000	-1,1889	248
2,2000	-0,9056	228
2,2056	-0,2611	239
2,2000	0,9111	234
2,2222	-0,1389	238
2,7889	0,6444	233
2,7778	1,5556	230
2,8500	0,3333	257
2,9000	0,9222	207
2,8500	0,2222	242
2,8278	0,6833	249
2,8444	0,3778	270
2,7778	0,1556	299
2,2444	2,2444	353
2,3556	2,3556	108
2,2444	2,2444	166
2,2444	2,2444	309
2,2556	2,2556	285
2,2000	0,4000	337
2,2000	2,2000	316
1,7000	-2,7389	28
1,7167	-0,1500	330
1,7167	1,7167	0
1,7167	1,7167	5
2,2000	2,2000	8
2,2000	-0,0611	6
2,1389	2,1389	16
2,1778	2,1778	34
2,2000	-0,3722	12
2,2667	-0,7611	27
2,2500	-1,1000	13
2,7778	-1,1111	20
2,2833	-1,6278	37
2,3167	-0,8778	40
2,8000	-1,1056	22
2,8111	-1,0056	31
2,7556	-1,3556	31
2,7556	-1,3833	29
2,7389	-1,3167	21
2,7333	-1,4056	20
2,2222	-2,0722	20
2,2333	-1,9444	30
1,6667	-2,7389	30
1,6667	-2,7389	30
2,6333	2,6333	325
1,6889	-3,1611	30
1,1611	-2,2222	41
1,2167	-2,0833	31
1,1611	-2,5333	32
1,1611	-2,1833	32
2,1389	-0,5722	42
2,1778	-0,9611	23
2,2222	-1,2667	42
2,6944	-0,4778	23
2,7556	-0,5722	31
3,8444	1,7722	22
3,8333	2,6500	15
3,8667	1,4278	12
3,8667	1,4000	12
3,8833	1,9556	345
3,8667	1,8056	344
3,9389	1,9222	324
3,8389	2,0000	324
2,8278	0,5667	344
3,2889	3,2889	321
2,7278	2,7278	338
2,2944	0,7778	286
1,8056	1,8056	18
2,2722	0,6222	337
2,8278	2,8278	203
2,8278	2,8278	253
2,7722	2,7722	266
2,7556	2,7556	60
2,7556	2,7556	300
2,7611	2,7611	212
2,7333	0,3722	219
2,7333	0,8278	229
2,7000	0,7944	224
2,2722	-0,3278	188
2,2722	2,2722	257
2,3167	2,3167	324
2,8056	1,6722	317
2,7556	0,1944	327
2,3056	0,0111	333
2,2222	-0,0333	347
2,2222	-0,5056	338
2,2556	-0,3333	340
2,2222	-0,1444	338
2,2222	0,3778	338
2,7333	0,9833	358
2,7333	2,7333	17
2,7333	1,0167	343
0,2944	-1,2722	35
1,6444	1,6444	346
0,5278	-2,2389	21
1,1778	1,1778	8
1,0833	1,0833	145
1,0833	1,0833	8
1,0500	-1,1889	195
2,1278	0,0778	147
1,1556	-2,2667	147
1,1889	-2,1667	146
2,2222	-0,6389	165
2,2444	-0,7056	145
2,2278	-0,7000	145
2,2667	-1,1056	137
1,7111	-0,0889	142
1,2389	-1,5611	108
0,0889	-1,5833	87
0,1167	-1,6667	81
-0,7278	-2,4389	73
-1,0167	-2,7833	53
-0,5333	-0,5333	37
-0,0333	-0,0333	17
-0,0444	-0,0444	20
-0,0444	-0,0444	41
-4,0944	-6,7944	340
-0,6500	-3,0611	31
-1,1611	-3,6056	30
-1,9500	-4,1333	39
-2,8611	-2,8611	28
-2,8111	-2,8111	133
-3,4778	-3,4778	71
-3,7556	-3,7556	60
-1,1611	-1,1611	93
0,0444	-1,4667	129
2,0833	2,0833	86
2,6833	2,6833	304
